DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
22 March 2019 07:45,4748,-,All Island
22 March 2019 08:00,4828,-,All Island
22 March 2019 08:15,4893,-,All Island
22 March 2019 08:30,4892,-,All Island
22 March 2019 08:45,4893,-,All Island
22 March 2019 09:00,4970,-,All Island
22 March 2019 09:15,5036,-,All Island
22 March 2019 09:30,5040,-,All Island
22 March 2019 09:45,5083,-,All Island
22 March 2019 10:00,5072,-,All Island
22 March 2019 10:15,5035,-,All Island
22 March 2019 10:30,5067,-,All Island
22 March 2019 10:45,5063,-,All Island
22 March 2019 11:00,5022,-,All Island
22 March 2019 11:15,5050,-,All Island
22 March 2019 11:30,5065,-,All Island
22 March 2019 11:45,5070,-,All Island
22 March 2019 12:00,5054,-,All Island
22 March 2019 12:15,5078,-,All Island
22 March 2019 12:30,5064,-,All Island
22 March 2019 12:45,5049,-,All Island
22 March 2019 13:00,5035,-,All Island
22 March 2019 13:15,4955,-,All Island
22 March 2019 13:30,4918,-,All Island
22 March 2019 13:45,4911,-,All Island
22 March 2019 14:00,4898,-,All Island
22 March 2019 14:15,4877,-,All Island
22 March 2019 14:30,4853,-,All Island
22 March 2019 14:45,4816,-,All Island
22 March 2019 15:00,4821,-,All Island
22 March 2019 15:15,4814,-,All Island
22 March 2019 15:30,4802,-,All Island
22 March 2019 15:45,4844,-,All Island
22 March 2019 16:00,4829,-,All Island
22 March 2019 16:15,4851,-,All Island
22 March 2019 16:30,4932,-,All Island
22 March 2019 16:45,4944,-,All Island
22 March 2019 17:00,4980,-,All Island
22 March 2019 17:15,5018,-,All Island
22 March 2019 17:30,5098,-,All Island
22 March 2019 17:45,5082,-,All Island
22 March 2019 18:00,5144,-,All Island
22 March 2019 18:15,5131,-,All Island
22 March 2019 18:30,5146,-,All Island
22 March 2019 18:45,5211,-,All Island
22 March 2019 19:00,5319,-,All Island
22 March 2019 19:15,5414,-,All Island
22 March 2019 19:30,5385,-,All Island
22 March 2019 19:45,5329,-,All Island
22 March 2019 20:00,5258,-,All Island
22 March 2019 20:15,5201,-,All Island
22 March 2019 20:30,5100,-,All Island
22 March 2019 20:45,5049,-,All Island
22 March 2019 21:00,4958,-,All Island
22 March 2019 21:15,4836,-,All Island
22 March 2019 21:30,4737,-,All Island
22 March 2019 21:45,4642,-,All Island
22 March 2019 22:00,4524,-,All Island
22 March 2019 22:15,4429,-,All Island
22 March 2019 22:30,4315,-,All Island
22 March 2019 22:45,4224,-,All Island
22 March 2019 23:00,4195,-,All Island
22 March 2019 23:15,4144,-,All Island
22 March 2019 23:30,4050,-,All Island
22 March 2019 23:45,3984,-,All Island
23 March 2019 00:00,3889,-,All Island
23 March 2019 00:15,3827,-,All Island
23 March 2019 00:30,3784,-,All Island
23 March 2019 00:45,3670,-,All Island
23 March 2019 01:00,3603,-,All Island
23 March 2019 01:15,3563,-,All Island
23 March 2019 01:30,3511,-,All Island
23 March 2019 01:45,3452,-,All Island
23 March 2019 02:00,3405,-,All Island
23 March 2019 02:15,3343,-,All Island
23 March 2019 02:30,3320,-,All Island
23 March 2019 02:45,3299,-,All Island
23 March 2019 03:00,3278,-,All Island
23 March 2019 03:15,3252,-,All Island
23 March 2019 03:30,3242,-,All Island
23 March 2019 03:45,3252,-,All Island
23 March 2019 04:00,3244,-,All Island
23 March 2019 04:15,3228,-,All Island
23 March 2019 04:30,3225,-,All Island
23 March 2019 04:45,3228,-,All Island
23 March 2019 05:00,3246,-,All Island
23 March 2019 05:15,3249,-,All Island
23 March 2019 05:30,3272,-,All Island
23 March 2019 05:45,3303,-,All Island
23 March 2019 06:00,3363,-,All Island
23 March 2019 06:15,3421,-,All Island
23 March 2019 06:30,3426,-,All Island
23 March 2019 06:45,3463,-,All Island
23 March 2019 07:00,3570,-,All Island
23 March 2019 07:15,3706,-,All Island
23 March 2019 07:30,3812,-,All Island
23 March 2019 07:45,3920,-,All Island
23 March 2019 08:00,4019,-,All Island
23 March 2019 08:15,4124,-,All Island
23 March 2019 08:30,4216,-,All Island
23 March 2019 08:45,4319,-,All Island
23 March 2019 09:00,4425,-,All Island
23 March 2019 09:15,4517,-,All Island
23 March 2019 09:30,4559,-,All Island
23 March 2019 09:45,4601,-,All Island
23 March 2019 10:00,4602,-,All Island
23 March 2019 10:15,4624,-,All Island
23 March 2019 10:30,4626,-,All Island
23 March 2019 10:45,4629,-,All Island
23 March 2019 11:00,4621,-,All Island
23 March 2019 11:15,4631,-,All Island
23 March 2019 11:30,4651,-,All Island
23 March 2019 11:45,4620,-,All Island
23 March 2019 12:00,4617,-,All Island
23 March 2019 12:15,4641,-,All Island
23 March 2019 12:30,4643,-,All Island
23 March 2019 12:45,4618,-,All Island
23 March 2019 13:00,4601,-,All Island
23 March 2019 13:15,4562,-,All Island
23 March 2019 13:30,4519,-,All Island
23 March 2019 13:45,4487,-,All Island
23 March 2019 14:00,4452,-,All Island
23 March 2019 14:15,4414,-,All Island
23 March 2019 14:30,4393,-,All Island
23 March 2019 14:45,4383,-,All Island
23 March 2019 15:00,4369,-,All Island
23 March 2019 15:15,4383,-,All Island
23 March 2019 15:30,4378,-,All Island
23 March 2019 15:45,4389,-,All Island
23 March 2019 16:00,4417,-,All Island
23 March 2019 16:15,4458,-,All Island
23 March 2019 16:30,4527,-,All Island
23 March 2019 16:45,4581,-,All Island
23 March 2019 17:00,4648,-,All Island
23 March 2019 17:15,4740,-,All Island
23 March 2019 17:30,4797,-,All Island
23 March 2019 17:45,4862,-,All Island
23 March 2019 18:00,4910,-,All Island
23 March 2019 18:15,4901,-,All Island
23 March 2019 18:30,4923,-,All Island
23 March 2019 18:45,4949,-,All Island
23 March 2019 19:00,5089,-,All Island
23 March 2019 19:15,5124,-,All Island
